id,tokens,pos_tags
35,['ឯក_ឧត្ដម' 'គឹម' 'អន'],[14 13 13]
36,['កញ្ញា' 'ជឿន' 'សារឿយ'],[14 13 13]
37,['នេះ' 'គឺ_ជា' 'រដ្ឋា'],[ 5 20 13]
38,['លោក' 'ច័ន្ទ' 'ពន្លឺ'],[14 13 13]
39,"['លោក' 'ប្រធាន' 'សហ_ព័ន្ធ' 'កីឡា' 'បាល់_ទាត់' 'អូស្ត្រាលី' 'បាន'
 'ទទួល_ស្គាល់' 'កាល_ពី' 'ថ្ងៃ_អង្គារ' 'ថា' 'ប្រទេស' 'នេះ' '«' 'មិន' 'ដែល'
 'ទទួល_បាន' 'ឱកាស' 'មួយ' '»' 'ក្នុង' 'ការ~ដេញ_ថ្លៃ' 'សម្រាប់'
 'ព្រឹត្តិ_ការណ៍' 'ឆ្នាំ' '២០២២' 'ឡើយ' 'និង' 'បាន' 'បដិសេធ' 'ថា' 'ខ្លួន'
 'បាន' 'ចំណាយ' 'ប្រាក់' 'សូកប៉ាន់' '។']","[14 11 11 11 11 13  1 20  7 13  7 11  5 18 16 17 20 11  3 18  7 11  7 11
 11  3 12  2  1 20  7 11  1 20 11 20  9]"
40,['កញ្ញា' 'ឃុន' 'វត្តី' 'ស្រី' 'រាជ្យនី'],[14 13 13 13 13]
41,['លោក~ស្រី' 'សុវណ្ណារ៉ូ'],[14 13]
42,['អ្នក~នាង' 'ទ្រី'],[14 13]
43,['គាត់' 'ឈ្មោះ' 'ភុំ' 'វិសុទ្ធ'],[14 11 13 13]
44,['លោក~ស្រី' 'រស់'],[14 13]
45,['គាត់' 'ឈ្មោះ' 'ណារ៉ាន់'],[14 11 13]
46,['នេះ' 'គឺ_ជា' 'ផុន' 'ទូច'],[ 5 20 13 13]
47,['លោក' 'សិទ្ធិ' 'ចាន់' 'ឌឿន'],[14 13 13 13]
48,"['របាយការណ៍' 'ស្រមោល' 'ចំនួន' '២៥' 'ទំព័រ' 'ដែល' 'ត្រូវ_បាន' 'ចងក្រង'
 'ដោយ' 'អង្គការ' ',' ',' 'និង' 'បាន' 'បង្ហាញ' 'នូវ' 'ការ~ខក_ខាន' 'របស់'
 'រាជ' 'រដ្ឋាភិបាល' 'ក្នុង' 'ការ~គោរព' 'ការពារ' 'និង' 'ផ្តល់' 'នូវ'
 'សិទិ្ធ' 'ពល_រដ្ឋ' 'និង' 'សិទិ្ធ' 'នយោបាយ' 'ជា' 'មូលដ្ឋាន' 'ដូច' 'ដែល'
 'មាន' 'ចែង' 'ក្នុង' 'អនុសញ្ញា' '។']","[11 11 11  3 11 17 20 20  7 11 18 18  2  1 20  7 11  7  8 11  7 11 20  2
 20  7 11 11  2 11 11  7 11  8 17 20 20  7 11  9]"
49,['លោក~ជំទាវ' 'ភ្លន់' 'ស្រី' 'នុច'],[14 13 13 13]
50,['លោក~ជំទាវ' 'អ៊ីម'],[14 13]
51,['លោក~ជំទាវ' 'ឃន'],[14 13]
52,['កញ្ញា' 'ចយ' 'ចន្នី'],[14 13 13]
53,['អ្នក~នាង' 'នីតា'],[14 13]
54,"['លោក' 'នាយក' 'រដ្ឋ_មន្ត្រី' 'ហ៊ុន' 'សែន' 'កាល_ពី' 'ថ្ងៃ_ពុធ' 'បាន' 'ហៅ'
 'សំណើ' 'តំណាង_រាស្ត្រ' 'គណបក្ស' 'ប្រឆាំង' 'ឲ្យ' 'អភិវឌ្ឍ' 'តំបន់'
 'អារ៉ែង' 'ជា' 'តំបន់' 'អេកូ' 'ទេសចរណ៍' 'ថា' 'ជា' 'រឿង' 'ដដែល' 'ៗ' '។']","[14 11 11 13 13  7 13  1 20 11 11 11  8  7 20 11 13  7 11 11 11  7  7 11
  8  4  9]"
55,['លោក' 'សៀ'],[14 13]
56,['លោក' 'ផាន់' 'ម៉ាលីន'],[14 13 13]
57,"['គេ' 'ត្រូវតែ' 'ឲ្យ' 'និស្សិត' 'ម្នាក់' 'ៗ' 'បាន' 'មក' 'ទទួល' 'សញ្ញាបត្រ'
 'នៅ_លើ' 'វេទិកា' 'និង' 'ថត' 'រូប' 'នៃ' 'ការ~ទទួល' 'សញ្ញាបត្រ' 'របស់'
 'ពួក_គេ' 'ទាំងអស់' 'គ្នា' 'ទោះបី_ជា' 'ចំនួន' 'និស្សិត' 'ដែល' 'ត្រូវ' 'មក'
 'ទទួល' 'មាន' 'ចំនួន' 'ច្រើន' 'ក៏_ដោយ' 'ព្រោះ' 'វា' 'ជា' 'ពិធី' 'ដ៏'
 'សំខាន់' 'មួយ' 'នៅ_ក្នុង' 'ជីវិត' 'ជា' 'និស្សិត' '។']","[14 20 20 11  5  4  1 20 20 11  7 11  2 20 11  7 11 11  7 14  5 14  2 11
 11 17 20 20 20 20 11  8 16  2 14 20 11 16  8  3  7 11  7 11  9]"
58,['នេះ' 'គឺ_ជា' 'ឡេង' 'សុខ' 'ខៃ'],[ 5 20 13 13 13]
59,['ខ្ញុំ' 'ឈ្មោះ' 'កឺ'],[14 11 13]
60,['អ្នក~នាង' 'ទី' 'សុជា'],[14 13 13]
61,['ឥឡូវ' 'គេ' 'ឈប់' 'ឲ្យ' 'ហើយ' '។'],[16 14 20 20 16  9]
62,['លោក~ជំទាវ' 'ផាន់' 'ស្រី' 'តូច'],[14 13 13 13]
63,['នេះ' 'គឺ_ជា' 'អ៊ន់' 'ស៊ាង' 'ហ័រ'],[ 5 20 13 13 13]
64,"['ឯ' 'ចៅ' 'មួយ' 'ក៏' 'ក្រាប_ទូល' 'ថា' '“' 'ខ្ញុំ' 'ព្រះ~បាទ' 'អ_ម្ចាស់'
 'បបួល' 'ចៅ' 'នេះ' 'មែន' '”']",[ 7 11  3 16 20  7 18 14 14 14 20 11  5 16 18]
65,['លោក' 'រដ្ឋា'],[14 13]
66,['កញ្ញា' 'វណ្ណនី'],[14 13]
67,"['នៅ' 'ពេល' 'ក្រុម' 'ធំ' 'កម្ពុជា' 'បាន' 'បង្ហាញ' 'ពី' 'ការ~គោរព' 'ក្រោយ'
 'ចាញ់' 'ក្រុម' 'អាហ្វហ្គានីស្ថាន' '១' '.' '០' 'នោះ' 'អ្នក~ទស្សនា' 'ជាង'
 '៥' 'ម៉ឺន' 'នាក់' 'បាន' 'នាំ_គ្នា' 'ទះ_ដៃ' 'អបអរ' 'ពេញ' 'ពហុ_កីឡា_ដ្ឋាន'
 'ជាតិ' 'និង' 'ថែម_ទាំង' 'បាន' 'ស្រែក' 'បន្ទរ' 'គ្នា' 'ថា' '«' 'ក្រុម'
 'ជម្រើស_ជាតិ' 'បាល់_ទាត់' 'កម្ពុជា' 'ស្ថិត' 'នៅ_ក្នុង' 'ចិត្ត' 'របស់'
 'យើង' 'ជា_រៀង_រហូត' '»' 'រួច' 'បាន' 'នាំ_គ្នា' 'ស្រែក' 'ច្រៀង' 'បទ' '«'
 'ពង្សាវតារ' '»' 'ទាំង' 'ទឹក_មុខ' 'ញញឹម' 'មុន' 'វិល' 'ទៅ_កាន់' 'គេហ_ដ្ឋាន'
 'វិញ' '។']","[ 7 11 11  8 13  1 20  7 11  7 20 11 13  3 18  3  5 11  7  3  3 10  1 16
 20 20  8 11 11  2 16  1 20 16 14  7 18 11 11 11 13 20  7 11  7 14 16 18
 16  1 16 20 20 11 18 11 18  5 11 21  7 20  7 11 16  9]"
68,['នេះ' 'គឺ_ជា' 'តេន' 'ចន្ទ' 'ហៀ'],[ 5 20 13 13 13]
69,['អ្នក~នាង' 'ស៊ុំ' 'សង់'],[14 13 13]
70,['លោក' 'ភឿង' 'ទេវតា'],[14 13 13]
71,['លោក~ស្រី' 'ឆឿង' 'វាសនា'],[14 13 13]
72,['លោក~ស្រី' 'ហេង' 'ឡុង'],[14 13 13]
73,['គាត់' 'ឈ្មោះ' 'អុល' 'សុខ' 'ឡុន'],[14 11 13 13 13]
74,['លោក' 'ឃុន' 'វត្តី' 'ស្រី' 'រាជ្យនី'],[14 13 13 13 13]
75,['ឯក_ឧត្ដម' 'យឿម' 'ស្រី' 'លិច'],[14 13 13 13]
76,['ខ្ញុំ' 'ឈ្មោះ' 'សុកណាត'],[14 11 13]
77,['លោក' 'ហេង' 'ឡុង'],[14 13 13]
78,"['គម្រោង' 'ត្រូវ' 'គ្រប់គ្រង' 'នៅ_ក្នុង' 'រង្វង់' 'នៃ' 'បញ្ហា' 'ដែល'
 'ប្រឈម' 'នឹង' 'ពេល_វេលា' 'តម្លៃ' 'ឬ' 'ធនធាន' 'មនុស្ស' 'ដែល' 'មាន']",[11 20 20  7 11  7 11 17 20  7 11 11  7 11 11 17 20]
79,"['គេ' 'នៅ' 'ចាំ' 'បាន' 'ថា' 'កាល_ពី' 'ថ្ងៃ_ទី' '២' 'ខែ_ឧសភា' 'ឡុង'
 'សុវណ្ណ' 'ឌឿន' 'ធ្លាប់' 'ចាញ់' 'ពិន្ទុ' 'កីឡា_ករ' 'ថៃ' 'ម្តង' 'មក_ហើយ'
 'ប៉ុន្តែ' 'កាល' 'ណោះ' 'លោក' 'ឡុង' 'សាល_វ័ន្ត' 'ប្រាប់' 'ថា' 'ចាញ់'
 'ដោយសារ_តែ' 'ឡុង' 'សុវណ្ណ' 'ឌឿន' 'មិន' 'បាន' 'ត្រៀម' 'ខ្លួន' 'ទុក' 'មុន'
 'ប៉ុន្តែ' 'លើក' 'នេះ' 'ថ្វី_ដ្បិត_តែ' 'គេ' 'មាន' 'កម្លាំង' 'ពេញ' 'ក៏'
 'ពិត' 'មែន' 'តែ' 'មិន' 'អាច' 'សងសឹក' 'បាន' 'សម្រេច' 'ដដែល' 'គឺ' 'បាន'
 'ត្រឹម_តែ' 'ស្មើ' 'ពិន្ទុ' 'ប៉ុណ្ណោះ' '។']","[14  7 20 22  7  7 11  3 13 13 13 13 16 20 11 11 13 16 16  2  7  5 14 13
 13 20  7 20  2 13 13 13 16  1 20 11 16 16  2 11  5  2 14 20 11  8 16  8
 16 16 16 20 20 22 16 16 20 20 16  8 11  8  9]"
80,['ឯក_ឧត្ដម' 'សុខា'],[14 13]
81,"['លោក~ស្រី' 'កត់_សម្គាល់' 'ថា' 'អត្រា' 'នៃ' 'ភាព~ក្រីក្រ' 'នៅ' 'កម្ពុជា'
 'ត្រូវ_បាន' 'កាត់_បន្ថយ' 'ដល់' 'កម្រិត' '១៩,៥' 'ភាគ_រយ' 'តែ' 'ទោះ'
 'យ៉ាង_ណា' '«' 'ប្រជា_ពល_រដ្ឋ' '៥០' 'ភាគ_រយ' 'នៅ_តែ' 'ទទួល_រង' 'នូវ'
 'ភាព~ក្រីក្រ' 'នៅ_ឡើយ' 'និង' 'ទទួល_រង' 'នូវ' 'ការ~គំរាម_កំហែង' 'ផ្សេង'
 'ៗ' 'រួម_ទាំង' 'ការ' 'មិន' 'ទទួល_បាន' 'នូវ' 'ការ~ថែទាំ' 'សេវា' 'សុខភាព'
 'ឲ្យ' 'ប្រសើរ' 'ការ~ខ្វះ' 'ចំណី_អាហារ' 'និង' 'ជីវ_ជាតិ' 'ក៏' 'ដូច_ជា'
 'ការ~ខ្វះ' 'នូវ' 'ប្រាក់' 'ចំណូល' '»' '។']","[14 20  7 11  7 11  7 13 20 20  7 11  3 11 16  2 14 18 11  3 11 16 20  7
 11 16  2 20  7 11  8  4  8 11 16 20  7 11 11 11  7  8 11 11  2 11 16  7
 11  7 11 11 18  9]"
82,['ខ្ញុំ' 'ឈ្មោះ' 'នី' 'សូឡី'],[14 11 13 13]
83,['លោក~ស្រី' 'មិកា'],[14 13]
84,['គាត់' 'ឈ្មោះ' 'ស៊ាន' 'ម៉េង' 'គ័ង'],[14 11 13 13 13]
85,['ខ្ញុំ' 'ឈ្មោះ' 'ង៉ិក' 'រៀម'],[14 11 13 13]
86,['គាត់' 'ឈ្មោះ' 'នាង' 'ឆយី'],[14 11 13 13]
87,"['ការ~ចាប់_ខ្លួន' 'បាន' 'កើត_ឡើង' 'នៅ_ពេល' 'មាន' 'ការ~តវ៉ា' 'នៅ_មុខ'
 'សាលា' 'រាជ_ធានី' 'ភ្នំ_ពេញ' 'ជា' 'កន្លែង' 'ដែល' 'សមាជិក' 'សហគមន៍'
 'បឹង_កក់' 'បាន' 'អំពាវនាវ' 'ឲ្យ' 'មាន' 'ដំណោះស្រាយ' 'ពី' 'អាជ្ញាធរ'
 'ដើម្បី' 'រំដោះ' 'ទឹក' 'ចេញ' 'ពី' 'ផ្ទះ' 'ក្នុង' 'សហគមន៍' 'របស់' 'អ្នក'
 'ទាំង_នោះ' '។']","[11  1 20  7 20 11  7 11 11 13 21 11 17 11 11 13  1 20  7 20 11  7 11  7
 20 11 20  7 11  7 11  7 14  5  9]"
88,['លោក~ជំទាវ' 'យាត' 'ចាន់នី'],[14 13 13]
89,"['របាយការណ៍' 'ជា' 'ទៀងទាត់' 'លើក' 'ទី' 'ពីរ' 'របស់' 'ប្រទេស' 'កម្ពុជា'
 'ដែល' 'បាន' 'ដាក់' 'ជូន' 'គណកម្មាធិការ' 'សិទិ្ធ' 'មនុស្ស' 'នឹង'
 'ត្រូវ_បាន' 'ពិនិត្យ' 'នៅ_ក្នុង' 'សន្និបាត' 'លើក' 'ទី' '១១៣' 'របស់'
 'គណកម្មាធិការ' 'នៅ' 'ថ្ងៃ_ទី' '១៧' 'និង' '១៨' 'ខែ_មិនា' 'ឆ្នាំ' '២០១៥'
 'នៅ' 'ទីក្រុង' 'សឺណែវ' '។']","[11 21  8 11 11  3  7 11 13 17  1 20  7 11 11 11  1 20 20  7 11 11 11  3
  7 11  7 11  3  2  3 13 11  3  7 11 13  9]"
90,['លោក' 'អោក' 'សំផោន'],[14 13 13]
91,"['អង្គការ' 'លីកាដូ' 'នឹង' 'ធ្វើ' 'ការ~ចែក' 'នូវ' 'កញ្ចប់' 'ដែល' 'មាន'
 'ផ្លែ_ឈើ' 'ភេសជ្ជៈ' 'ដែល' 'មាន' 'សារ_ជាតិ' 'ចិញ្ចឹម' 'សម្ភារៈ' 'សំអាត'
 'ខ្លួន' 'និង' 'តុក្តតា' 'សម្រាប់' 'កុមារ' 'តូច' 'ៗ' '។']","[11 13  1 20 11  7 11 17 20 11 11 17 20 11 21 11 21 11  2 11  7 11  8  4
  9]"
92,['ឯក_ឧត្ដម' 'កាំង' 'ប៉' 'ប៉'],[14 13 13 13]
93,['ខ្ញុំ' 'ឈ្មោះ' 'សឹក' 'សាវី'],[14 11 13 13]
94,"['ការ~ចាប់_ខ្លួន' 'ជា_ច្រើន' 'នា' 'ពេល' 'ថ្មី' 'ៗ' 'នេះ' 'បាន' 'កើត_ឡើង'
 'ចាប់_ពី' 'ថ្ងៃ_ទី' '២៩' 'ខែ_កញ្ញា' 'ឆ្នាំ' '២០១៤' 'ដោយ' 'ដាក់' 'គោល_ដៅ'
 'លើ' 'សមាជិក' 'គណបក្ស' 'ជំទាស់' 'សកម្ម_ជន' 'ជា' 'ព្រះ~សង្ឃ' 'និង'
 'សកម្ម_ជន' 'ដីធ្លី' 'ដ៏' 'យូរ' 'ឆ្នាំ' 'មួយ_ចំនួន' '។']","[11  8  7 11  8  4  5  1 20  7 11  3 13 11  3  7 20 11  7 11 11 21 11 21
 11  2 11 11 16  8 11  5  9]"
95,['ខ្ញុំ' 'ឈ្មោះ' 'សង' 'លាក់'],[14 11 13 13]
96,['ខ្ញុំ' 'ឈ្មោះ' 'សាន្ត' 'ភារម្យ'],[14 11 13 13]
97,['អ្នក~នាង' 'ឡាង' 'សាំង' 'ឡេង'],[14 13 13 13]
98,['នេះ' 'គឺ_ជា' 'គីម'],[ 5 20 13]
99,"['សមាជិក' 'ដែល' 'ជួយ' 'ឲ្យ' 'កម្ពុជា' 'អាច' 'ផ្ដួល' 'ក្រុម' 'ឡាវ' 'នៅ'
 'វគ្គ' 'ចុង_ក្រោយ' 'នោះ' 'បាន' 'រួម_មាន' 'កីឡា_ករ' 'ជិន' 'សុវណ្ណា'
 'រិទ្ធិ' 'កីឡា_ករ' 'ជាតិ' 'ខេមរិន្ទ' 'កីឡា_ករ' 'រៀម' 'សុភារម្យ' 'កីឡា_ករ'
 'ហេង' 'រ៉ាវុធ' 'កីឡា_ករ' 'ទ្រឿង' 'លី' 'កីឡា_ករ' 'អ៊ុង' 'ណារិទ្ធី'
 'កីឡា_ករ' 'ណាង' 'សុភាព' 'និង' 'កីឡា_ករ' 'សុភ័ក្ត្រ' 'ចន្នី' '។']","[11 17 20  7 13 20 20 11 13  7 11  8  5 22 20 11 13 13 13 11 13 13 11 13
 13 11 13 13 11 13 13 11 13 13 11 13 13  2 11 13 13  9]"
100,['គាត់' 'ឈ្មោះ' 'ឈឿង' 'ឆាង'],[14 11 13 13]
101,['ឯក_ឧត្ដម' 'ចក់' 'និស្ស័យ'],[14 13 13]
102,"['គ្រប់' 'ការ~ព្យាយាម' 'របស់' 'មេធាវី' 'ការពារ' 'ជន' 'ជាប់_ចោទ' 'ដើម្បី'
 'បង្ហាញ' 'ភស្តុតាង' 'នៃ' 'អំពើ_ហិង្សា' 'ទាំង_នេះ' 'ក្នុង' 'អំឡុង' 'ពេល'
 'ជំនុំ_ជម្រះ' 'ត្រូវ_បាន' 'បដិសេធ' 'ភ្លាម' 'ៗ' 'ដោយ' 'ចៅក្រម' 'និង'
 'ព្រះ~រាជ_អាជ្ញា' '។']","[ 8 11  7 11 20 11 21  7 20 11  7 11  5  7  7 11 20 20 20 16  4  7 11  2
 11  9]"
103,['ឯក_ឧត្ដម' 'សាន' 'សម្បត្តិ'],[14 13 13]
104,['នេះ' 'គឺ_ជា' 'អ៊ុន'],[ 5 20 13]
105,['លោក~ស្រី' 'សៀង' 'សាលាប'],[14 13 13]
106,['លោក~ស្រី' 'ឡន'],[14 13]
107,['ឯក_ឧត្ដម' 'ចន' 'ផារី'],[14 13 13]
108,"['បន្ទាប់_ពី' 'ការ~ប្រមូល_ផ្តុំ' 'តំណាង' 'ក្រសួង' 'ការងារ' 'លោក' 'ទូច'
 'សុខ' 'មុត' 'បាន' 'ចេញ_មក' 'ទទួល' 'ញត្តិ' 'ហើយ' 'ថា' 'នឹង' 'យក' 'សំណើ'
 'នេះ' 'ទៅ' 'ថ្នាក់_ដឹក_នាំ' 'ក្រសួង' 'ដើម្បី' 'ធ្វើ' 'ការ~ពិចារណា' '។']","[ 7 11 11 11 11 14 13 13 13  1 20 20 11 16 20  1 20 11  5  7 11 11  7 20
 11  9]"
109,['នេះ' 'គឺ_ជា' 'ចាន់' 'រស្មី'],[ 5 20 13 13]
110,['អ្នក~នាង' 'នូ' 'វ៉ុន'],[14 13 13]
